Index,Date,Ave Temp,Depart From Ave Temp,Precip,Total Diverted (AF),Total Return (AF),Alameda Level,Isleta Lakes Level
1,11/28/2023,36.5,-4.3,0,139,145.68,13.45,6.07
2,11/29/2023,41,0.6,0,142.3,144.61,13.45,6.13
3,11/30/2023,39,-1.1,0.17,140.11,147.03,13.54,6.24
4,12/1/2023,42,2.2,0,141.55,148.66,13.51,6.4
5,12/2/2023,38.5,-1,0,140.69,146.05,13.48,6.4
6,12/3/2023,41,1.8,0,140.64,145.19,13.47,6.43
7,12/4/2023,43,4.1,0,140.51,149.58,13.45,6.42
8,12/5/2023,43,4.4,0,138.12,144.45,13.55,6.45
9,12/6/2023,43.5,5.2,0,142.9,144.76,13.44,6.37
10,12/7/2023,46,7.9,0,140.58,144.67,13.56,6.46
11,12/8/2023,45,7.1,0,140.54,146.02,13.58,6.43
12,12/9/2023,34.5,-3.1,0,140.71,143.93,13.58,6.39
13,12/10/2023,32,-5.4,0,140.73,143.65,13.57,4.58
14,12/11/2023,38.5,1.3,0,140.81,147.77,13.57,4.71
15,12/12/2023,42,5,0,137.41,146.54,13.57,4.62
16,12/13/2023,44.5,7.6,0.03,137.52,145.65,13.58,4.65
17,12/14/2023,39.5,2.8,0.5,134.71,150.81,14.22,4.59
18,12/15/2023,43,6.4,0,141.79,147.98,13.66,4.56
19,12/16/2023,39,2.6,0,137.52,145.04,13.71,4.54
20,12/17/2023,42,5.7,0,137.63,147.71,13.69,4.52
21,12/18/2023,42,5.8,0,137.71,146.17,13.65,4.52
22,12/19/2023,41,4.9,0,139.38,144.85,13.69,4.5
23,12/20/2023,40,4,0.01,139.38,145.07,13.69,4.47
24,12/21/2023,44.5,8.5,0,139.18,145.5,13.63,4.49
25,12/22/2023,41.5,5.6,0.04,139.57,148.23,12.43,4.47
26,12/23/2023,43,7.1,0.43,144.42,151.6,12.39,4.46
27,12/24/2023,38.5,2.6,0,140.94,148.66,12.29,4.43
28,12/25/2023,33.5,-2.3,0,140.9,131.07,12.28,4.38
29,12/26/2023,34.5,-1.3,0,140.94,142.12,12.25,4.28
30,12/27/2023,35.5,-0.3,0,139.43,144.58,12.37,4.29
31,12/28/2023,33.5,-2.3,0,109.78,146.29,12.29,4.3
32,12/29/2023,36.5,0.6,0,141.22,144.91,12.33,4.33
33,12/30/2023,35,-0.9,0,140.81,144.24,12.3,4.41
34,12/31/2023,37.5,1.6,0,141.1,145.99,12.32,4.53
35,1/1/2024,36.5,0.5,0,140.75,138.5,12.32,4.78
36,1/2/2024,40,4,0,140.97,144.15,12.34,4.81
37,1/3/2024,37,0.9,0,140.92,145.47,12.29,4.82
38,1/4/2024,37,0.8,0.23,140.8,145.4,12.31,4.86
39,1/5/2024,33.5,-2.7,0,141.16,145.34,12.32,4.87
40,1/6/2024,30.5,-5.8,0,140.76,145.25,12.33,4.89
41,1/7/2024,33,-3.4,0,140.98,143.87,12.32,4.9
42,1/8/2024,28.5,-8,0,140.74,147.31,12.3,4.88
43,1/9/2024,28,-8.6,0,140.94,145.25,12.33,4.87
44,1/10/2024,33.5,-3.2,0,140.87,147.8,12.33,4.88
45,1/11/2024,33.5,-3.3,0,140.91,144.91,12.29,4.88
46,1/12/2024,27,-9.9,0,140.91,146.78,12.33,4.85
47,1/13/2024,40,3,0,140.95,144.73,12.26,4.81
48,1/14/2024,44,6.9,0,141.07,146.05,12.25,4.78
49,1/15/2024,39,1.8,0,141.1,149.33,12.27,4.78
50,1/16/2024,33,-4.3,0,141.03,148.29,12.26,4.81
51,1/17/2024,36,-1.4,0,140.94,143.22,12.39,4.87
52,1/18/2024,43.5,6,0,141.03,145,12.42,4.85
53,1/19/2024,40,2.3,0,140.85,146.63,12.2,4.9
54,1/20/2024,40.5,2.7,0,141.02,145.8,12.46,4.93
55,1/21/2024,43,5.1,0,141.11,145.34,12.46,4.71
56,1/22/2024,44.5,6.5,0.02,141.24,148.99,12.47,4.83
57,1/23/2024,39,0.9,0.02,141.1,144.88,12.47,4.84
58,1/24/2024,42.5,4.2,0.03,140.97,144.94,12.48,4.84
59,1/25/2024,40.5,2.1,0.03,141.06,146.69,12.48,4.82
60,1/26/2024,43,4.5,0,141.07,146.26,12.51,4.84
61,1/27/2024,41.5,2.8,0,140.91,146.11,12.52,4.87
62,1/28/2024,40.5,1.7,0,140.7,145.5,12.52,4.84
63,1/29/2024,43,4.1,0,138.97,147.31,12.54,4.81
64,1/30/2024,48,8.9,0,142.85,143.87,12.53,4.77
65,1/31/2024,46.5,7.3,0,140.84,143.35,12.55,4.75
66,2/1/2024,48,8.6,0,140.78,144.21,12.54,4.78
67,2/2/2024,44,4.5,0.01,140.94,143.26,12.56,4.73
68,2/3/2024,43,3.3,0,140.08,150.01,12.52,4.75
69,2/4/2024,39,-0.8,0,138.23,150.9,12.56,4.68
70,2/5/2024,41.5,1.5,0,143.81,148.6,12.54,4.75
71,2/6/2024,47,6.8,0,141.37,145.99,12.55,4.79
72,2/7/2024,43,2.7,0.07,141.57,145.99,12.46,4.8
73,2/8/2024,41.5,1,0,141.51,144.45,12.54,4.82
74,2/9/2024,35,-5.7,0,141.6,147.18,12.54,4.74
75,2/10/2024,34.5,-6.4,0.33,141.44,148.1,12.55,4.87
76,2/11/2024,35.5,-5.6,0,141.6,149.27,12.53,4.74
77,2/12/2024,36,-5.3,0,141.55,148.5,12.53,4.74
78,2/13/2024,40,-1.5,0,139.83,148.75,12.43,4.73
79,2/14/2024,44.5,2.8,0,143.35,152.43,12.43,4.74
80,2/15/2024,44.5,2.6,0,141.52,143.65,12.54,4.74
81,2/16/2024,44,1.9,0,141.46,147.28,12.56,4.75
82,2/17/2024,41,-1.3,0,141.54,148.44,12.57,4.82
83,2/18/2024,39.5,-3.1,0,137.17,147.09,12.57,4.78
84,2/19/2024,46.5,3.7,0,146.13,151.11,12.59,4.8
85,2/20/2024,51.5,8.5,0,141.34,148.72,12.6,4.88
86,2/21/2024,50.5,7.2,0,141.44,147.18,12.6,4.92
87,2/22/2024,49.5,6,0,126.16,115.33,12.63,4.89
88,2/23/2024,45.5,1.7,0,129.49,76.75,12.58,4.87
89,2/24/2024,46,2,0,129.58,76.78,12.57,4.96
90,2/25/2024,51,6.7,0,129.47,75.89,12.58,4.93
91,2/26/2024,56.5,11.9,0,132.34,77.37,12.58,4.88
92,2/27/2024,53,8.2,0,129.36,76.63,12.49,4.82
93,2/28/2024,45.5,0.4,0,141.7,76.11,12.43,4.84
94,2/29/2024,45.5,0.2,0,129.7,73.81,12.55,4.81
95,3/1/2024,50,4.6,0,129.88,79.12,12.59,4.9
96,3/2/2024,51,5.3,0,129.84,75.99,12.58,4.91
97,3/3/2024,55,9.1,0,144.75,76.97,12.57,4.98
98,3/4/2024,50.5,4.3,0,144.11,78.29,12.48,5.02
99,3/5/2024,49,2.5,0,144.27,76.32,12.6,5.09
100,3/6/2024,48.5,1.7,0,143.93,75.77,12.49,5.08
101,3/7/2024,48,0.9,0,144.58,75.28,12.5,5.05
102,3/8/2024,41.5,-5.9,0.04,144.62,77.52,12.49,5.06
103,3/9/2024,42,-5.7,0,144.62,76.29,12.54,5.08
104,3/10/2024,43.5,-4.4,0,138.79,73.93,12.5,5.12
105,3/11/2024,47.5,-0.7,0,145.05,78.38,12.52,5.05
106,3/12/2024,52.5,4,0,145.27,76.23,12.62,5.02
107,3/13/2024,46.5,-2.3,0,145.43,77.06,12.62,4.97
108,3/14/2024,44.5,-4.6,0,145.39,76.66,12.62,4.86
109,3/15/2024,42.5,-6.8,0,145.53,77.12,12.64,4.83
110,3/16/2024,45.5,-4.1,0.1,145.12,77.24,12.67,4.85
111,3/17/2024,42.5,-7.4,0.1,164.44,78.59,12.71,5.02
112,3/18/2024,47.5,-2.6,0,162.95,79.02,12.73,5.19
113,3/19/2024,49,-1.4,0,166.14,77.34,12.8,5.35
114,3/20/2024,48.5,-2.2,0,163.38,76.88,12.77,5.57
115,3/21/2024,52.5,1.6,0,165.6,77.43,12.74,5.74
116,3/22/2024,53,1.8,0,161.82,76.94,12.74,5.86
117,3/23/2024,55,3.6,0,166.94,72.36,12.64,6.2
118,3/24/2024,45,-6.7,0.01,163.06,77.8,12.64,6.28
119,3/25/2024,43,-8.9,0.01,165.61,79.79,12.68,6.67
120,3/26/2024,40.5,-11.6,0.01,161.42,76.63,12.7,6.86
121,3/27/2024,43,-9.4,0,167.44,75.74,12.69,6.99
122,3/28/2024,48.5,-4.1,0,163.47,76.14,12.84,7.16
123,3/29/2024,57.5,4.7,0,166.53,70.89,12.84,7.22
124,3/30/2024,58.5,5.4,0,164.33,79.12,12.89,7.25
125,3/31/2024,57,3.7,0,171.96,74.02,12.86,7.27
126,4/1/2024,40,-13.5,0.22,178.36,107.07,12.93,6.95
127,4/2/2024,46.5,-7.2,0,175.15,148.99,12.96,6.92
128,4/3/2024,52.5,-1.4,0,174.88,140.59,12.91,6.91
129,4/4/2024,57.5,3.4,0,174.8,147.8,12.9,6.49
130,4/5/2024,60,5.6,0,174.58,145.04,12.92,6.95
131,4/6/2024,43,-11.6,0,173.32,139.3,12.96,6.97
132,4/7/2024,47,-7.8,0,181.87,147.8,12.98,7.07
133,4/8/2024,50.5,-4.5,0,177.57,147.77,12.9,7.01
134,4/9/2024,50.5,-4.7,0,177.06,156.54,12.83,6.99
135,4/10/2024,53.5,-1.9,0,176.71,149.06,12.77,6.74
136,4/11/2024,56.5,0.9,0,172.61,150.68,12.65,6.45
137,4/12/2024,63,7.1,0,178.94,135.49,12.68,6.43
138,4/13/2024,61.5,5.4,0,180.71,160.59,12.68,6.63
139,4/14/2024,61.5,5.2,0,189.2,146.2,12.88,6.8
140,4/15/2024,55,-1.5,0,195.05,150.59,13.13,6.78
141,4/16/2024,55,-1.7,0,144.45,145.13,13.15,6.69
142,4/17/2024,60.5,3.5,0,149.77,148.63,13.47,6.64
143,4/18/2024,64,6.8,0,140.16,151.14,13.54,6.61
144,4/19/2024,63.5,6.1,0,3.2,148.1,13.47,6.58
145,4/20/2024,61,3.3,0,0,147.64,13.57,6.58
146,4/21/2024,58.5,0.6,0,0,148.41,13.48,6.57
147,4/22/2024,64,5.8,0,0,150.38,13.79,6.7
148,4/23/2024,67,8.6,0,0,147.49,13.85,6.75
149,4/24/2024,67.5,8.8,0,0,149.76,13.93,6.54
150,4/25/2024,62,3,0,0,146.69,14.08,6.2
151,4/26/2024,58.5,-0.8,0,113.76,152.62,14.13,6.18
152,4/27/2024,51.5,-8,0.11,189.4,147.4,14.13,5.99
153,4/28/2024,53.5,-6.3,0,189.24,148.75,14.06,5.92
154,4/29/2024,57.5,-2.6,0,204.66,149.76,13.83,5.92
155,4/30/2024,63.5,3.1,0,203.95,148.07,13.76,5.73
156,5/1/2024,66,5.3,0,213.46,148.78,13.67,5.69
157,5/2/2024,66,4.9,0,208.18,146.69,13.3,5.69
158,5/3/2024,64,2.6,0,210.98,147.64,13.42,5.66
159,5/4/2024,63,1.3,0,208.24,148.14,13.82,5.82
160,5/5/2024,66.5,4.5,0,208.38,149.92,13.79,5.7
161,5/6/2024,59.5,-2.9,0,229.93,150.9,13.83,5.6
162,5/7/2024,60.5,-2.2,0,231.43,147.43,13.91,5.54
163,5/8/2024,63,-0.1,0,233.79,150.62,13.84,5.5
164,5/9/2024,63.5,0.1,0,231.86,149.3,13.83,5.49
165,5/10/2024,62,-1.8,0,229.8,147.77,13.58,5.64
166,5/11/2024,64,-0.2,0,232.52,145.89,13.22,5.67
167,5/12/2024,57.5,-7,0,230.3,149.06,13.33,5.56
168,5/13/2024,65,0.1,0,241.5,149.58,13.56,5.64
169,5/14/2024,67.5,2.2,0,225.99,146.39,13.76,5.61
170,5/15/2024,66.5,0.8,0,236.67,143.93,13.76,5.55
171,5/16/2024,59,-7.1,0.06,229.2,148.66,13.68,5.5
172,5/17/2024,67.5,1,0,228.4,146.26,13.67,5.34
173,5/18/2024,71.5,4.7,0,241.23,147,13.67,5.2
174,5/19/2024,71,3.8,0,231.54,146.36,13.64,5.05
175,5/20/2024,67,-0.6,0,232.13,148.78,13.62,4.89
176,5/21/2024,66,-2,0,223.66,145,13.64,4.75
177,5/22/2024,67.5,-0.9,0,243.9,145.25,13.64,5.31
178,5/23/2024,67.5,-1.3,0,231.92,146.23,13.84,5.11
179,5/24/2024,68.5,-0.7,0,241.04,147.46,13.81,4.96
180,5/25/2024,69.5,-0.1,0,240.47,144.24,13.58,4.89
181,5/26/2024,70.5,0.5,0,238.22,141.17,13.22,4.83
182,5/27/2024,70.5,0.2,0,238.78,143.16,13.25,4.82
183,5/28/2024,73.5,2.8,0,233.86,150.13,13.08,4.81
184,5/29/2024,74,2.9,0,237.86,149.7,13.1,7.1
185,5/30/2024,72.5,1,0,241.93,150.16,13.11,5.71
186,5/31/2024,76.5,4.7,0,242.42,146.69,13,5.33
187,6/1/2024,76.5,4.3,0,242.12,145.1,13,5.31
188,6/2/2024,77,4.5,0,234.12,147.55,13,5.25
189,6/3/2024,75,2.1,0,242.92,147.55,13.02,5.26
190,6/4/2024,77.5,4.3,0,234.3,149.21,13.18,5.14
191,6/5/2024,80.5,6.9,0,239.74,149.39,13.08,5.09
192,6/6/2024,80.5,6.6,0,243.83,136.5,12.97,5.07
193,6/7/2024,86.5,12.3,0,239.61,152.46,12.96,4.88
194,6/8/2024,82.5,8,0,238.19,148.38,12.93,4.74
195,6/9/2024,75.5,0.7,0,205.26,150.81,12.93,4.62
196,6/10/2024,65.5,-9.6,0.19,233.37,151.54,13.06,4.56
197,6/11/2024,77,1.6,0,134.01,153.2,13.01,4.55
198,6/12/2024,81,5.3,0,239.29,149.33,12.98,4.54
199,6/13/2024,84,8.1,0,236.98,148.6,13.04,4.48
200,6/14/2024,75,-1.2,0.01,244.07,148.53,13.03,4.34
201,6/15/2024,75,-1.4,0,237.24,146.57,12.98,4.12
202,6/16/2024,81.5,4.9,0,234.48,147.74,12.82,4.09
203,6/17/2024,81,4.1,0,238.49,150.07,12.66,4.03
204,6/18/2024,78.5,1.4,0,238.53,150.25,12.66,4.16
205,6/19/2024,78,0.7,0,240.97,150.9,12.53,4.51
206,6/20/2024,80,2.5,0,235.62,149.03,12.43,4.78
207,6/21/2024,75.5,-2.1,0.13,242.79,154.73,12.44,4.63
208,6/22/2024,71,-6.8,0.15,107.4,153.08,12.86,4.52
209,6/23/2024,78,0,0,205.27,149.98,12.73,4.68
210,6/24/2024,83,4.9,0.2,224.35,154,12.56,4.74
211,6/25/2024,85,6.8,0,198.35,151.05,12.5,4.85
212,6/26/2024,85.5,7.1,0.02,181.17,150.47,12.49,4.73
213,6/27/2024,78,-0.5,0.01,185.2,153.48,12.48,4.59
214,6/28/2024,78.5,-0.1,0,191.85,152.74,12.48,4.43
215,6/29/2024,79.5,0.8,1.48,184.37,141.35,12.48,4.35
216,6/30/2024,79,0.2,0.01,0,187.94,13.55,4.26
217,7/1/2024,77.5,-1.3,0.04,0,162.59,12.33,4.22
218,7/2/2024,77,-1.9,0.07,0,156.48,12.23,4.19
219,7/3/2024,77,-2,0,0,153.05,12.22,4.19
220,7/4/2024,81.5,2.5,0,0,152.46,12.21,4.2
221,7/5/2024,81.5,2.5,0,0,139.67,12.08,4.37
222,7/6/2024,80.5,1.4,0,0,144.02,12.03,4.36
223,7/7/2024,79.5,0.4,0,0,145.86,11.99,4.43
224,7/8/2024,76,-3.1,0,0,149.7,11.91,4.6
225,7/9/2024,78.5,-0.6,0,0,148.35,11.63,4.66
226,7/10/2024,81,1.9,0.04,0,149.67,11.52,4.75
227,7/11/2024,80.5,1.4,0.02,0,148.66,11.48,4.58
228,7/12/2024,81.5,2.4,0.08,0,149.85,11.47,4.62
229,7/13/2024,80.5,1.4,0,0,146.45,11.49,4.63
230,7/14/2024,84,4.9,0,0,147.52,11.41,4.64
231,7/15/2024,84,5,0,0,150.44,11.23,4.61
232,7/16/2024,85,6,0,0,150.74,11.04,4.59
233,7/17/2024,83,4,0.24,0,150.71,10.99,4.6
234,7/18/2024,78.5,-0.4,0,0,153.26,10.97,4.64
235,7/19/2024,80,1.1,0,0,150.16,11.04,4.64
236,7/20/2024,79,0.1,0.2,0,152.03,11.06,4.6
237,7/21/2024,75,-3.8,0.12,0,153.78,11.5,4.6
238,7/22/2024,73,-5.8,0,0,161.06,11.39,4.61
239,7/23/2024,77.5,-1.2,0,0,154.76,11.33,4.63
240,7/24/2024,80.5,1.8,0.2,0,152.34,11.5,4.62
241,7/25/2024,79.5,0.9,0,0,153.72,11.56,4.67
242,7/26/2024,79,0.4,0.46,0,155.16,11.46,4.69
243,7/27/2024,76.5,-2,0,0,164.92,11.49,4.67
244,7/28/2024,82.5,4.1,0,0,153.54,11.28,4.67
245,7/29/2024,84.5,6.1,0,0,154.43,11.14,4.65
246,7/30/2024,82.5,4.2,0,0,155.99,11.1,4.71
247,7/31/2024,85,6.7,0,0,158.35,11.03,4.64
248,8/1/2024,85.5,7.3,0,0,156.51,10.98,4.6
249,8/2/2024,82.5,4.4,0,0,156.54,10.98,4.59
250,8/3/2024,83.5,5.4,0,0,156.82,10.97,4.66
251,8/4/2024,82,4,0,0,155.04,10.95,4.64
252,8/5/2024,84.5,6.6,0,0,159.7,11.18,4.53
253,8/6/2024,83,5.1,0,0,156.54,11.16,4.69
254,8/7/2024,81,3.2,0,0,148.2,11.23,4.48
255,8/8/2024,81.5,3.8,0,0,157.8,11.34,4.43
256,8/9/2024,80.5,2.9,0,0,156.91,11.35,4.4
257,8/10/2024,81,3.4,0,0,155.35,11.66,4.2
258,8/11/2024,80.5,3,0,0,155.13,11.34,4.06
259,8/12/2024,83.5,6.1,0,0,132.88,11.39,3.97
260,8/13/2024,79,1.7,0,0,157.5,11.35,3.94
261,8/14/2024,80,2.8,0,0,156.11,11.39,3.94
262,8/15/2024,82,4.9,0,0,155.35,11.39,3.93
263,8/16/2024,86.5,9.5,0,0,157.83,11.4,3.99
264,8/17/2024,84,7.1,0,0,156.39,11.42,3.93
265,8/18/2024,82,5.2,0,0,155.99,11.41,3.95
266,8/19/2024,84.5,7.8,0,0,158.39,11.41,4.09
267,8/20/2024,84.5,7.9,0,0,153.29,11.35,4.08
268,8/21/2024,84.5,8,0,0,155.59,11.33,4.08
269,8/22/2024,81,4.7,0,0,155.53,11.34,4.21
270,8/23/2024,78.5,2.3,0.02,0,153.63,11.39,4.27
271,8/24/2024,78.5,2.4,0.02,0,153.75,11.41,4.29
272,8/25/2024,76,0.1,0.09,0,152.12,11.35,4.26
273,8/26/2024,76,0.2,0.02,0,158.26,11.4,4.26
274,8/27/2024,74,-1.6,0,0,156.18,11.4,4.25
275,8/28/2024,70,-5.4,0,0,157.86,11.43,4.02
276,8/29/2024,75,-0.2,0,0,155.99,11.43,3.98
277,8/30/2024,75,0,0.17,0,153.17,11.41,3.95
278,8/31/2024,74,-0.8,0,0,150.9,11.44,3.95
279,9/1/2024,75,0.4,0,0,147.06,11.42,3.96
280,9/2/2024,73.5,-0.9,0,0,150.19,11.37,3.94
281,9/3/2024,71.5,-2.7,0,0,155.32,11.47,3.93
282,9/4/2024,78,4.1,0,0,151.6,11.44,3.93
283,9/5/2024,76.5,2.8,0,0,152.65,11.33,3.98
284,9/6/2024,72.5,-0.9,0,0,152.34,11.57,3.97
285,9/7/2024,73,-0.2,0,0,152.4,11.1,3.95
286,9/8/2024,73.5,0.6,0,0,151.82,11.06,3.95
287,9/9/2024,74,1.4,0,0,155.04,11.06,3.95
288,9/10/2024,77,4.7,0,0,151.85,10.88,3.92
289,9/11/2024,77.5,5.5,0,0,154.03,10.78,3.93
290,9/12/2024,75.5,3.8,0,0,152.89,10.75,3.94
291,9/13/2024,74.5,3.1,0,0,153.11,10.75,3.95
292,9/14/2024,77,5.9,0,0,152.31,10.72,3.95
293,9/15/2024,77,6.3,0,0,151.36,10.7,3.93
294,9/16/2024,70.5,0.1,0.06,0,155.53,10.72,3.91
295,9/17/2024,73.5,3.4,0,0,154.49,10.72,4.1
296,9/18/2024,69.5,-0.2,0,0,151.39,10.72,4.65
297,9/19/2024,71.5,2.2,0,0,152.49,10.81,4.31
298,9/20/2024,74.5,5.5,0,0,149.73,10.77,4.65
299,9/21/2024,72.5,3.9,0,0,151.11,10.82,4.82
300,9/22/2024,64,-4.2,0,0,149.67,10.92,4.88
301,9/23/2024,66.5,-1.3,0,0,153.05,10.98,4.9
302,9/24/2024,69.5,2.1,0,0,150.04,11.01,4.91
303,9/25/2024,73.5,6.5,0,0,151.94,10.98,4.87
304,9/26/2024,73.5,6.9,0,0,150.56,10.99,4.83
305,9/27/2024,76.5,10.3,0,0,149.39,11,4.8
306,9/28/2024,78,12.2,0,0,149.88,10.8,4.71
307,9/29/2024,76,10.6,0,0,149.92,10.74,4.63
308,9/30/2024,77,12,0,0,153.81,10.75,4.55
309,10/1/2024,74,9.4,0,0,150.93,10.74,4.56
310,10/2/2024,71,6.8,0,0,148.72,10.74,4.5
311,10/3/2024,73,9.2,0,0,153.44,10.72,4.6
312,10/4/2024,76,12.6,0,0,150.74,10.73,4.56
313,10/5/2024,74,11.1,0,0,152.06,10.74,4.56
314,10/6/2024,71.5,9,0,0,153.26,10.75,4.69
315,10/7/2024,70,7.9,0,0,155.65,10.75,5
316,10/8/2024,69.5,7.8,0,0,149.7,10.74,5.13
317,10/9/2024,71,9.7,0,0,150.38,10.74,5.2
318,10/10/2024,71.5,10.7,0,0,150.87,10.72,5.22
319,10/11/2024,71,10.6,0,0,149.95,10.71,5.23
320,10/12/2024,70.5,10.5,0,0,148.63,10.7,5.25
321,10/13/2024,69,9.4,0,0,149.73,10.69,5.26
322,10/14/2024,70.5,11.3,0,0,152.22,10.69,5.32
323,10/15/2024,69.5,10.7,0,0,153.26,10.68,5.35
324,10/16/2024,61.5,3.2,0,0,149.42,10.68,5.27
325,10/17/2024,62.5,4.6,0,0,148.69,10.67,5.25
326,10/18/2024,61,3.5,0.1,0,149.58,10.68,5.3
327,10/19/2024,56,-1.1,0.35,0,154.18,11.03,5.35
328,10/20/2024,63.5,6.8,0,0,151.94,11.32,5.24
329,10/21/2024,57,0.7,0,0,151.51,11.52,5.36
330,10/22/2024,58.5,2.6,0,0,149.64,11.46,5.27
331,10/23/2024,62.5,7.1,0,0,150.04,11.58,5.27
332,10/24/2024,65,10,0,0,149.67,11.6,5.29
